,Unnamed: 0,Region/Country/Area,Región,Year,Series,Value,Footnotes,Source
1998,2061,438,Liechtenstein,2005,"Assault rate per 100,000 population",203.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1999,2063,438,Liechtenstein,2005,"Theft at the national level, rate per 100,000 population",502.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2000,2064,438,Liechtenstein,2005,"Robbery at the national level, rate per 100,000 population",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2001,2065,438,Liechtenstein,2005,"Total Sexual Violence at the national level, rate per 100,000",51.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2002,2066,438,Liechtenstein,2010,"Intentional homicide rates per 100,000",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2003,2067,438,Liechtenstein,2010,"Assault rate per 100,000 population",213.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2004,2069,438,Liechtenstein,2010,"Theft at the national level, rate per 100,000 population",483.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2005,2070,438,Liechtenstein,2010,"Robbery at the national level, rate per 100,000 population",5.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2006,2071,438,Liechtenstein,2010,"Total Sexual Violence at the national level, rate per 100,000",16.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2007,2073,438,Liechtenstein,2015,"Assault rate per 100,000 population",328.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2008,2075,438,Liechtenstein,2015,"Theft at the national level, rate per 100,000 population",516.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2009,2076,438,Liechtenstein,2015,"Robbery at the national level, rate per 100,000 population",8.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2010,2077,438,Liechtenstein,2015,"Total Sexual Violence at the national level, rate per 100,000",24.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2011,2079,438,Liechtenstein,2016,"Assault rate per 100,000 population",188.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2012,2081,438,Liechtenstein,2016,"Theft at the national level, rate per 100,000 population",520.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2013,2082,438,Liechtenstein,2016,"Robbery at the national level, rate per 100,000 population",10.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2014,2083,440,Lithuania,2005,"Intentional homicide rates per 100,000",11.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2015,2084,440,Lithuania,2005,"Percentage of male and female intentional homicide victims, Male",17.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2016,2085,440,Lithuania,2005,"Percentage of male and female intentional homicide victims, Female",5.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2017,2086,440,Lithuania,2005,"Assault rate per 100,000 population",12.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2018,2087,440,Lithuania,2005,"Kidnapping at the national level, rate per 100,000",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2019,2088,440,Lithuania,2005,"Theft at the national level, rate per 100,000 population",825.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2020,2089,440,Lithuania,2005,"Robbery at the national level, rate per 100,000 population",155.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2021,2090,440,Lithuania,2005,"Total Sexual Violence at the national level, rate per 100,000",16.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2022,2091,440,Lithuania,2010,"Intentional homicide rates per 100,000",7.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2023,2092,440,Lithuania,2010,"Percentage of male and female intentional homicide victims, Male",10.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2024,2093,440,Lithuania,2010,"Percentage of male and female intentional homicide victims, Female",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2025,2094,440,Lithuania,2010,"Assault rate per 100,000 population",7.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2026,2095,440,Lithuania,2010,"Kidnapping at the national level, rate per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2027,2096,440,Lithuania,2010,"Theft at the national level, rate per 100,000 population",849.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2028,2097,440,Lithuania,2010,"Robbery at the national level, rate per 100,000 population",87.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2029,2098,440,Lithuania,2010,"Total Sexual Violence at the national level, rate per 100,000",16.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2030,2099,440,Lithuania,2015,"Intentional homicide rates per 100,000",5.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2031,2100,440,Lithuania,2015,"Percentage of male and female intentional homicide victims, Male",9.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2032,2101,440,Lithuania,2015,"Percentage of male and female intentional homicide victims, Female",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2033,2102,440,Lithuania,2015,"Assault rate per 100,000 population",7.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2034,2103,440,Lithuania,2015,"Kidnapping at the national level, rate per 100,000",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2035,2104,440,Lithuania,2015,"Theft at the national level, rate per 100,000 population",777.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2036,2105,440,Lithuania,2015,"Robbery at the national level, rate per 100,000 population",54.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2037,2106,440,Lithuania,2015,"Total Sexual Violence at the national level, rate per 100,000",13.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2038,2107,440,Lithuania,2016,"Intentional homicide rates per 100,000",5.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2039,2108,440,Lithuania,2016,"Percentage of male and female intentional homicide victims, Male",8.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2040,2109,440,Lithuania,2016,"Percentage of male and female intentional homicide victims, Female",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2041,2110,440,Lithuania,2016,"Assault rate per 100,000 population",7.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2042,2111,440,Lithuania,2016,"Kidnapping at the national level, rate per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2043,2112,440,Lithuania,2016,"Theft at the national level, rate per 100,000 population",684.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2044,2113,440,Lithuania,2016,"Robbery at the national level, rate per 100,000 population",46.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2045,2114,442,Luxembourg,2004,"Intentional homicide rates per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2046,2115,442,Luxembourg,2004,"Percentage of male and female intentional homicide victims, Male",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2047,2116,442,Luxembourg,2004,"Percentage of male and female intentional homicide victims, Female",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2048,2117,442,Luxembourg,2005,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2049,2118,442,Luxembourg,2010,"Intentional homicide rates per 100,000",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2050,2119,442,Luxembourg,2010,"Percentage of male and female intentional homicide victims, Male",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2051,2120,442,Luxembourg,2010,"Percentage of male and female intentional homicide victims, Female",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2052,2121,442,Luxembourg,2010,"Assault rate per 100,000 population",487.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2053,2122,442,Luxembourg,2010,"Kidnapping at the national level, rate per 100,000",5.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2054,2123,442,Luxembourg,2010,"Theft at the national level, rate per 100,000 population",1421.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2055,2124,442,Luxembourg,2010,"Robbery at the national level, rate per 100,000 population",74.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2056,2125,442,Luxembourg,2010,"Total Sexual Violence at the national level, rate per 100,000",41.5,Break in the time series.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2057,2126,442,Luxembourg,2014,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2058,2127,442,Luxembourg,2014,"Percentage of male and female intentional homicide victims, Male",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2059,2128,442,Luxembourg,2014,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2060,2129,442,Luxembourg,2014,"Assault rate per 100,000 population",572.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2061,2130,442,Luxembourg,2014,"Kidnapping at the national level, rate per 100,000",9.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2062,2131,442,Luxembourg,2014,"Theft at the national level, rate per 100,000 population",1844.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2063,2132,442,Luxembourg,2014,"Robbery at the national level, rate per 100,000 population",110.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2064,2133,442,Luxembourg,2014,"Total Sexual Violence at the national level, rate per 100,000",51.4,Break in the time series.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2065,2134,450,Madagascar,2005,"Intentional homicide rates per 100,000",10.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2066,2135,450,Madagascar,2010,"Intentional homicide rates per 100,000",9.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2067,2136,450,Madagascar,2010,"Assault rate per 100,000 population",16.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2068,2138,450,Madagascar,2010,"Theft at the national level, rate per 100,000 population",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2069,2139,450,Madagascar,2010,"Robbery at the national level, rate per 100,000 population",14.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2070,2140,450,Madagascar,2010,"Total Sexual Violence at the national level, rate per 100,000",3.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2071,2141,450,Madagascar,2015,"Intentional homicide rates per 100,000",7.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2072,2142,450,Madagascar,2015,"Percentage of male and female intentional homicide victims, Male",12.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2073,2143,450,Madagascar,2015,"Percentage of male and female intentional homicide victims, Female",3.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2074,2144,450,Madagascar,2015,"Assault rate per 100,000 population",9.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2075,2146,450,Madagascar,2015,"Theft at the national level, rate per 100,000 population",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2076,2147,450,Madagascar,2015,"Robbery at the national level, rate per 100,000 population",7.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2077,2148,450,Madagascar,2015,"Total Sexual Violence at the national level, rate per 100,000",4.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2078,2149,454,Malawi,2005,"Intentional homicide rates per 100,000",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2079,2150,454,Malawi,2010,"Intentional homicide rates per 100,000",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2080,2151,454,Malawi,2012,"Intentional homicide rates per 100,000",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2081,2152,454,Malawi,2012,"Percentage of male and female intentional homicide victims, Male",2.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2082,2153,454,Malawi,2012,"Percentage of male and female intentional homicide victims, Female",0.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2083,2154,458,Malaysia,2005,"Intentional homicide rates per 100,000",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2084,2155,458,Malaysia,2005,"Assault rate per 100,000 population",16.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2085,2156,458,Malaysia,2005,"Theft at the national level, rate per 100,000 population",133.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2086,2157,458,Malaysia,2005,"Robbery at the national level, rate per 100,000 population",60.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2087,2158,458,Malaysia,2006,"Intentional homicide rates per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2088,2159,458,Malaysia,2006,"Assault rate per 100,000 population",21.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2089,2160,458,Malaysia,2006,"Theft at the national level, rate per 100,000 population",142.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2090,2161,458,Malaysia,2006,"Robbery at the national level, rate per 100,000 population",81.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2091,2162,458,Malaysia,2010,"Intentional homicide rates per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2092,2163,458,Malaysia,2010,"Percentage of male and female intentional homicide victims, Male",3.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2093,2164,458,Malaysia,2010,"Percentage of male and female intentional homicide victims, Female",0.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2094,2165,458,Malaysia,2013,"Intentional homicide rates per 100,000",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2095,2166,462,Maldives,2003,"Intentional homicide rates per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2096,2167,462,Maldives,2003,"Robbery at the national level, rate per 100,000 population",88.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2097,2168,462,Maldives,2004,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2098,2169,462,Maldives,2004,"Robbery at the national level, rate per 100,000 population",150.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2099,2170,462,Maldives,2010,"Intentional homicide rates per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2100,2171,462,Maldives,2010,"Assault rate per 100,000 population",405.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2101,2172,462,Maldives,2010,"Kidnapping at the national level, rate per 100,000",7.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2102,2173,462,Maldives,2010,"Theft at the national level, rate per 100,000 population",1097.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2103,2174,462,Maldives,2010,"Robbery at the national level, rate per 100,000 population",150.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2104,2175,462,Maldives,2010,"Total Sexual Violence at the national level, rate per 100,000",157.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2105,2176,462,Maldives,2013,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2106,2177,462,Maldives,2013,"Percentage of male and female intentional homicide victims, Male",1.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2107,2178,462,Maldives,2013,"Percentage of male and female intentional homicide victims, Female",0.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2108,2179,462,Maldives,2013,"Assault rate per 100,000 population",324.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2109,2180,462,Maldives,2013,"Kidnapping at the national level, rate per 100,000",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2110,2181,462,Maldives,2013,"Theft at the national level, rate per 100,000 population",1681.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2111,2182,462,Maldives,2013,"Robbery at the national level, rate per 100,000 population",183.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2112,2183,462,Maldives,2013,"Total Sexual Violence at the national level, rate per 100,000",163.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2113,2184,466,Mali,2005,"Intentional homicide rates per 100,000",12.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2114,2185,466,Mali,2010,"Intentional homicide rates per 100,000",12.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2115,2186,466,Mali,2015,"Intentional homicide rates per 100,000",10.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2116,2187,466,Mali,2015,"Percentage of male and female intentional homicide victims, Male",16.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2117,2188,466,Mali,2015,"Percentage of male and female intentional homicide victims, Female",5.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2118,2189,470,Malta,2005,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2119,2190,470,Malta,2005,"Percentage of male and female intentional homicide victims, Male",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2120,2191,470,Malta,2005,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2121,2192,470,Malta,2005,"Theft at the national level, rate per 100,000 population",2362.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2122,2193,470,Malta,2005,"Robbery at the national level, rate per 100,000 population",62.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2123,2194,470,Malta,2010,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2124,2195,470,Malta,2010,"Percentage of male and female intentional homicide victims, Male",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2125,2196,470,Malta,2010,"Percentage of male and female intentional homicide victims, Female",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2126,2197,470,Malta,2010,"Assault rate per 100,000 population",43.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2127,2199,470,Malta,2010,"Theft at the national level, rate per 100,000 population",1867.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2128,2200,470,Malta,2010,"Robbery at the national level, rate per 100,000 population",47.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2129,2201,470,Malta,2010,"Total Sexual Violence at the national level, rate per 100,000",22.1,Break in the time series.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2130,2202,470,Malta,2015,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2131,2203,470,Malta,2015,"Percentage of male and female intentional homicide victims, Male",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2132,2204,470,Malta,2015,"Percentage of male and female intentional homicide victims, Female",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2133,2205,470,Malta,2015,"Assault rate per 100,000 population",42.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2134,2207,470,Malta,2015,"Theft at the national level, rate per 100,000 population",2023.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2135,2208,470,Malta,2015,"Robbery at the national level, rate per 100,000 population",56.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2136,2209,470,Malta,2015,"Total Sexual Violence at the national level, rate per 100,000",24.8,Break in the time series.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2137,2210,474,Martinique,2005,"Intentional homicide rates per 100,000",4.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2138,2211,474,Martinique,2009,"Intentional homicide rates per 100,000",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2139,2212,474,Martinique,2009,"Percentage of male and female intentional homicide victims, Male",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2140,2213,474,Martinique,2009,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2141,2214,478,Mauritania,2005,"Intentional homicide rates per 100,000",12.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2142,2215,478,Mauritania,2010,"Intentional homicide rates per 100,000",10.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2143,2216,478,Mauritania,2015,"Intentional homicide rates per 100,000",9.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2144,2217,478,Mauritania,2015,"Percentage of male and female intentional homicide victims, Male",14.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2145,2218,478,Mauritania,2015,"Percentage of male and female intentional homicide victims, Female",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2146,2219,480,Mauritius,2005,"Intentional homicide rates per 100,000",3.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2147,2220,480,Mauritius,2005,"Percentage of male and female intentional homicide victims, Male",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2148,2221,480,Mauritius,2005,"Percentage of male and female intentional homicide victims, Female",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2149,2222,480,Mauritius,2005,"Assault rate per 100,000 population",10.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2150,2223,480,Mauritius,2005,"Theft at the national level, rate per 100,000 population",1172.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2151,2224,480,Mauritius,2005,"Robbery at the national level, rate per 100,000 population",110.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2152,2225,480,Mauritius,2005,"Total Sexual Violence at the national level, rate per 100,000",25.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2153,2226,480,Mauritius,2010,"Intentional homicide rates per 100,000",2.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
2154,2227,480,Mauritius,2010,"Percentage of male and female intentional homicide victims, Male",4.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
